 Site ID ; Nazwa stacji ; kod pocztowy ; Miasto ; Adres ; HGV ; email ; telefon ; telefon 2 ; położenie ;;;HGV - STACJE REKOMENDOWANE DLA TRANSTORTU CIĘŻKIEGO;;;;
1020;AUDI;05-500;Piaseczno;ul. Armii Krajowej 20;no;1020@shellpl.pl;571303002;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.079727,+21.034098/@52.079727,21.03409817z;52.079727;21.034098
1021;INDIRA;02-781;Warszawa;ul. rtm. Witolda Pileckiego 101;no;1021@shellpl.pl;511846098;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.145268,+21.036702/@52.145268,21.03670217z;52.145268;21.036702
1023;PERI;05-850;Płochocin;ul. Poznańska 377;Yes;1023@shellpl.pl;511846429;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.21163,+20.732961/@52.21163,20.73296117z;52.21163;20.732961
1024;DREWNY;02-968;Warszawa;ul. Łukasza Drewny 2;no;1024@shellpl.pl;511835091;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.11891,+21.103781/@52.11891,21.10378117z;52.11891;21.103781
1031;SOKRATESA;01-909 ;Warszawa ;ul. Sokratesa 11;no;1031@shellpl.pl;511826648;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.284723,+20.927753/@52.284723,20.92775317z;52.284723;20.927753
1042;ALBERT;05-827;Grodzisk Mazowiecki;ul. Królewska 69;no;1042@shellpl.pl;511833546;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.104518,+20.635795/@52.104518,20.63579517z;52.104518;20.635795
1049;ŻABIA WOLA;96-321;Żabia Wola ;ul. Przy Trasie 4;yes;1049@shellpl.pl;511846497;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.028149,+20.672579/@52.028149,20.67257917z;52.028149;20.672579
1053;MICHALINEK;09-141;Płońsk;Michalinek Droga Krajowa 7;yes;1053@shellpl.pl;509734349;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.587367,+20.454934/@52.587367,20.45493417z;52.587367;20.454934
1055;KOBYŁKA;05-230;Kobyłka;ul. Nadarzyńska 5;yes;1055@shellpl.pl;511835341;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.33508,+21.222426/@52.33508,21.22242617z;52.33508;21.222426
1059;RUGBY;96-500;Sochaczew;ul. Żyrardowska 47;yes;1059@shellpl.pl;571303124;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.209793,+20.251762/@52.209793,20.25176217z;52.209793;20.251762
1061;ZAŁUSKI;09-142;Załuski;Droga Krajowa 7;Yes;1061@shellpl.pl;509734354;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.503213,+20.534756/@52.503213,20.53475617z;52.503213;20.534756
1064;NIEPORĘT LAJON;03-044;Warszawa;ul. Płochocińska 201;no;1064@shellpl.pl;511822980;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.364751,+21.027478/@52.364751,21.02747817z;52.364751;21.027478
1068;KONIK;05-462 ;Wiązowna;Duchnów, Szosa Mińska 42;Yes;1068@shellpl.pl;509734333;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.2105,+21.338763/@52.2105,21.33876317z;52.2105;21.338763
1083;GOSTYNIN WEST;09-500;Gostynin;Legarda 15b kierunek Płock;Yes;1083@shellpl.pl;662575559;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.436535,+19.504917/@52.436535,19.50491717z;52.436535;19.504917
1084;GOSTYNIN EAST;09-500;Gostynin;Legarda 15a kierunek Kutno;Yes;1084@shellpl.pl;662569899;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.436601,+19.507148/@52.436601,19.50714817z;52.436601;19.507148
1086;GARWOLIN RING;08-400;Garwolin;Trakt Lwowski;yes;1086@shellpl.pl;571303137;571303138;pokaż na mapie;;;;;https://maps.google.pl/maps/search/51.899227,+21.584402/@51.899227,21.58440217z;51.899227;21.584402
1093;MAGDALENKA;05-506;Lesznowola;ul.Słoneczna 300/302;no;1093@shellpl.pl;222434286;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.098129,+20.909761/@52.098129,20.90976117z;52.098129;20.909761
1094;SŁABOMIERZ;96-325;Słabomierz;ul. Żyrardowska 17;yes;1094@shellpl.pl;724006565;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/51.999335,+20.495081/@51.999335,20.49508117z;51.999335;20.495081
1098;Lazurowa;01-314;Warszawa;ul. Lazurowa 73;no;1098@shellpl.pl;511825786;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.229928,+20.89612/@52.229928,20.8961217z;52.229928;20.89612
1099;KARCZEW;05-480;Karczew;Bema 1;no;1099@shellpl.pl;509858595;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.086178,+21.258588/@52.086178,21.25858817z;52.086178;21.258588
1103;TRAKTOROWA;91-164;Łódź;ul. Traktorowa 14/72;no;1103@shellpl.pl;571303110;571303111;pokaż na mapie;;;;;https://maps.google.pl/maps/search/51.787595,+19.392146/@51.787595,19.39214617z;51.787595;19.392146
1104;DĄBROWSKIEGO;93-231;Łódź;ul. Dąbrowskiego 133;no;1104@shellpl.pl;571303112;571303113;pokaż na mapie;;;;;https://maps.google.pl/maps/search/51.735457,+19.506032/@51.735457,19.50603217z;51.735457;19.506032
1105;PASO;93-110;Łódź;ul. Przybyszewskiego 92;no;1105@shellpl.pl;571303114;571303115;pokaż na mapie;;;;;https://maps.google.pl/maps/search/51.74807,+19.488716/@51.74807,19.48871617z;51.74807;19.488716
1106;GEANT;92-202;Łódź;ul. Piłsudskiego 98;no;1106@shellpl.pl;571303004;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/51.763142,+19.498265/@51.763142,19.49826517z;51.763142;19.498265
1107;LIDO;93-418;Łódź;ul. Pabianicka 174;no;1107@shellpl.pl;571303116;571303117;pokaż na mapie;;;;;https://maps.google.pl/maps/search/51.71777,+19.437218/@51.71777,19.43721817z;51.71777;19.437218
1113;JEDYNKA;91-495;Łódź;ul. Zgierska 255;Yes;1113@shellpl.pl;571303118;571303119;pokaż na mapie;;;;;https://maps.google.pl/maps/search/51.82741,+19.427776/@51.82741,19.42777617z;51.82741;19.427776
1117;GÓRNA ;97-300 ;Piotrków Trybunalski;ul. Górna 7;Yes;1117@shellpl.pl;571303095;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/51.406394,+19.682597/@51.406394,19.68259717z;51.406394;19.682597
1118;GRUNWALDZKA;98-200 ;Sieradz;ul. Grunwaldzka 12;Yes;1118@shellpl.pl;514823164;514823792;pokaż na mapie;;;;;https://maps.google.pl/maps/search/51.594454,+18.714235/@51.594454,18.71423517z;51.594454;18.714235
1120;SKIERNIEWICE ;96-100 ;Skierniewice;ul. Wyszyńskiego 4;no;1120@shellpl.pl;511834478;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/51.971749,+20.147102/@51.971749,20.14710217z;51.971749;20.147102
1127;RZGÓW GRAF;95-030;Rzgów;ul. Katowicka 69;Yes;1127@shellpl.pl;571303096;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/51.645314,+19.490894/@51.645314,19.49089417z;51.645314;19.490894
1128;CHANEL;95-039;Rzgów;ul. Katowicka 126;Yes;1128@shellpl.pl;571303097;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/51.658487,+19.478588/@51.658487,19.47858817z;51.658487;19.478588
1131;GREGOR;97-300;Piotrków Trybunalski;ul. Cała 45e;Yes;1131@shellpl.pl;571303098;571303099;pokaż na mapie;;;;;https://maps.google.pl/maps/search/51.441102,+19.679968/@51.441102,19.67996817z;51.441102;19.679968
1133;PABIANICE JUNIOR;95-082;Dobroń Chechło II;ul. Pabianicka 15;Yes;1133@shellpl.pl;571303005;571303006;pokaż na mapie;;;;;https://maps.google.pl/maps/search/51.640314,+19.274987/@51.640314,19.27498717z;51.640314;19.274987
1144;LIMONKA;91-027;Łódź;ul. Limanowskiego 181/185;no;1144@shellpl.pl;571303007;571303008;pokaż na mapie;;;;;https://maps.google.pl/maps/search/51.793163,+19.418179/@51.793163,19.41817917z;51.793163;19.418179
1153;MOP NIESUŁKÓW;95-061;Dmosin;ul. Nowostawy Dolne 140;yes;1153@shellpl.pl;511830197;511830354;pokaż na mapie;;;;;https://maps.google.pl/maps/search/51.898198,+19.705812/@51.898198,19.70581217z;51.898198;19.705812
1154;MOP NOWOSTAWY;95-061;Dmosin;Nowostawy Dolne 141;yes;1154@shellpl.pl;571303120;571303121;pokaż na mapie;;;;;https://maps.google.pl/maps/search/51.89931,+19.705168/@51.89931,19.70516817z;51.89931;19.705168
1155;RADOMSKO;97-500;Radomsko;ul. Krakowska 20;no;1155@shellpl.pl;571303101;571303102;pokaż na mapie;;;;;https://maps.google.pl/maps/search/51.05411,+19.44109/@51.05411,19.4410917z;51.05411;19.44109
1201;KIELECKA;26-600;Radom;ul. Kielecka 82;Yes;1201@shellpl.pl;571409425;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/51.397676,+21.108508/@51.397676,21.10850817z;51.397676;21.108508
1209;GÓZD;26-806;Stara Błotnica;Stary Gózd 89 A;Yes;1209@shellpl.pl;571409423;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/51.570735,+21.02029/@51.570735,21.0202917z;51.570735;21.02029
1210;ŻDŻARY GUSTAW;26-806;Stara Błotnica;Stare Żdżary 80 A;yes;1210@shellpl.pl;571409422;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/51.542115,+21.059729/@51.542115,21.05972917z;51.542115;21.059729
1215;PRZYJMY;07-308;Poręba;Przyjmy 100;yes;1215@shellpl.pl;296459282;296459282;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.713377,+21.694926/@52.713377,21.69492617z;52.713377;21.694926
1218;PŁOCK;09-400;Płock;ul. Przemysłowa 5;no;1218@shellpl.pl;518246202;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.556473,+19.694403/@52.556473,19.69440317z;52.556473;19.694403
1301;TEREBELSKA;21-500;Biała Podlaska;ul. Terebelska 75;Yes;1301@shellpl.pl;571450034;571303011;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.049465,+23.108191/@52.049465,23.10819117z;52.049465;23.108191
1401;LUBLIN PZMOT;20-147;Lublin;ul. B Prusa 8;no;1401@shellpl.pl;511828841;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/51.253525,+22.562385/@51.253525,22.56238517z;51.253525;22.562385
1402;Lublin Spółdzielcza;20-147;Lublin;ul. Spółdzielczosci Pracy 43;yes;1402@shellpl.pl;511829016;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/51.26455,+22.573375/@51.26455,22.57337517z;51.26455;22.573375
1409;KRAŚNIK;23-200;Kraśnik;ul. Lubelska 2;Yes;1409@shellpl.pl;511835109;511835136;pokaż na mapie;;;;;https://maps.google.pl/maps/search/50.929714,+22.253548/@50.929714,22.25354817z;50.929714;22.253548
1418;JORDANA;22-100;Chełm;ul. Henryka Jordana 25;yes;1418@shellpl.pl;571303129;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/51.133885,+23.463698/@51.133885,23.46369817z;51.133885;23.463698
1502;BIŁGORAJ;23-400;Biłgoraj;ul. Tarnogrodzka 23;No;1502@shellpl.pl;511793189;511793196;pokaż na mapie;;;;;https://maps.google.pl/maps/search/50.516381,+22.716143/@50.516381,22.71614317z;50.516381;22.716143
1504;ZAMOŚĆ HETMAN;22-400;Zamość;ul. Jana Pawła II 6a;yes;1504@shellpl.pl;514991295;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/50.709905,+23.28519/@50.709905,23.2851917z;50.709905;23.28519
1601;BIAŁYSTOK;15-399;Białystok;ul. Składowa 9;No;1601@shellpl.pl;511846549;511846629;pokaż na mapie;;;;;https://maps.google.pl/maps/search/53.11782,+23.126999/@53.11782,23.12699917z;53.11782;23.126999
1603;BRANICKI;15-085;Białystok;ul. Branickiego 31;Yes;1603@shellpl.pl;511846734;511846924;pokaż na mapie;;;;;https://maps.google.pl/maps/search/53.125482,+23.183684/@53.125482,23.18368417z;53.125482;23.183684
1608;AUGUSTÓW;16-300;Augustów;ul. Wojska Polskiego 74;Yes;1608@shellpl.pl;511121091;511834405;pokaż na mapie;;;;;https://maps.google.pl/maps/search/53.827737,+22.949817/@53.827737,22.94981717z;53.827737;22.949817
1704;OLSZTYN WILCZYŃSKA  ;10-686 ;Olsztyn;ul. Wilczyńskiego 31;yes;1704@shellpl.pl;514876565;514837070;pokaż na mapie;;;;;https://maps.google.pl/maps/search/53.739752,+20.4877/@53.739752,20.487717z;53.739752;20.4877
1708;OSTRÓDA;14-100;Ostróda;ul. Plebiscytowa 3;yes;1708@shellpl.pl;514896565;514895289;pokaż na mapie;;;;;https://maps.google.pl/maps/search/53.70899,+19.978622/@53.70899,19.97862217z;53.70899;19.978622
1709;WITRAMOWO;11-015;Olsztynek;Witramowo 30;Yes;1709@shellpl.pl;514896543;514867857;pokaż na mapie;;;;;https://maps.google.pl/maps/search/53.4811,+20.320094/@53.4811,20.32009417z;53.4811;20.320094
2001;CTO;80-369;Gdańsk;Al. Rzeczpospolitej 8;No;2001@shellpl.pl;511834887;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/54.400844,+18.5917/@54.400844,18.591717z;54.400844;18.5917
2002;KLIF;81-545;Gdynia;Al. Zwycięstwa 260;no;2002@shellpl.pl;511836179;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/54.472868,+18.553736/@54.472868,18.55373617z;54.472868;18.553736
2003;MIRAMAR;81-861;Sopot;ul. Niepodleglości 897;No;2003@shellpl.pl;511835790;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/54.459283,+18.555012/@54.459283,18.55501217z;54.459283;18.555012
2004;WEJHEROWO;84-200;Wejherowo;ul. Brygady Pancernej W.P 30;yes;2004@shellpl.pl;511834254;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/54.604274,+18.251343/@54.604274,18.25134317z;54.604274;18.251343
2006;MORSKA;81-225 ;Gdynia;ul. Morska 58;no;2006@shellpl.pl;511836534;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/54.526776,+18.512601/@54.526776,18.51260117z;54.526776;18.512601
2008;OPACKA;80-320;Gdańsk;ul. Grunwaldzka 560;No;2008@shellpl.pl;511835824;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/54.415823,+18.565561/@54.415823,18.56556117z;54.415823;18.565561
2010;KARWINY;81-571;Gdynia;ul. Chwaszczyńska 10;No;2010@shellpl.pl;511836539;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/54.471375,+18.491149/@54.471375,18.49114917z;54.471375;18.491149
2012;ELTOR;80-017;Gdańsk;ul. Trakt Św. Wojciecha 223;no;2012@shellpl.pl;571303032;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/54.314539,+18.62969/@54.314539,18.6296917z;54.314539;18.62969
2013;NOWA HOLANDIA;82-310;Elbląg;Nowe Pole 1C ;Yes;2013@shellpl.pl;511830469;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/54.13713,+19.413711/@54.13713,19.41371117z;54.13713;19.413711
2015;OBWODNICA;80-298;Gdańsk;ul. Złota Karczma;yes;2015@shellpl.pl;511836056;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/54.36679,+18.519301/@54.36679,18.51930117z;54.36679;18.519301
2016;PLATYNOWA;80-041;Gdańsk;ul. Świętokrzyska 1;no;2016@shellpl.pl;571303034;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/54.326648,+18.610105/@54.326648,18.61010517z;54.326648;18.610105
2024;PORT;81-335;Gdynia;ul. J.Wiśniewskiego 19a;no;2024@shellpl.pl;511836549;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/54.529023,+18.513663/@54.529023,18.51366317z;54.529023;18.513663
2029;GÓRKA ŁOSTOWICKA;80-121;Gdańsk;ul. Łostowicka 4;Yes;2029@shellpl.pl;571303035;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/54.346164,+18.604242/@54.346164,18.60424217z;54.346164;18.604242
2030;HUTNICZA;81-038;Gdynia;ul. Hutnicza 35;yes;2030@shellpl.pl;511834413;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/54.550388,+18.454585/@54.550388,18.45458517z;54.550388;18.454585
2034;PUCK HELSKA;84-100;Puck;ul. Helska 14;no;2034@shellpl.pl;515034901;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/54.724199,+18.393295/@54.724199,18.39329517z;54.724199;18.393295
2035;MUPPET;80-807;Gdańsk;ul. Płk. Jana Pałubickiego 12 ;No;2035@shellpl.pl;571303127;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/54.339349,+18.554664/@54.339349,18.55466417z;54.339349;18.554664
2036;Gdansk Marynarki Polskiej;80-557;Gdansk;Marynarki Polskiej 98A;yes;2036@shellpl.pl;571303065;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/54.384664,+18.641393/@54.384664,18.64139317z;54.384664;18.641393
2101;ŚW.TRÓJCY;85-224;Bydgoszcz;ul. Św. Trójcy 34;No;2101@shellpl.pl;511823738;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/53.125464,+17.989104/@53.125464,17.98910417z;53.125464;17.989104
2102;FORDOŃSKA;85-739;Bydgoszcz;ul. Fordońska 97;Yes;2102@shellpl.pl;511835419;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/53.121287,+18.058224/@53.121287,18.05822417z;53.121287;18.058224
2106;MAGNUSZEWSKA;85-171;Bydgoszcz;ul. Wojska Polskiego 12;No;2106@shellpl.pl;511835429;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/53.1076,+18.036745/@53.1076,18.03674517z;53.1076;18.036745
2109;ŻARÓWA;64-920;Piła;al. Powstańców Wielkopolskich ;yes;2109@shellpl.pl;508500746;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/53.160767,+16.756114/@53.160767,16.75611417z;53.160767;16.756114
2115;TRZECIEWIEC;86-022;Dobrcz;Trzeciewiec 33A;yes;2115@shellpl.pl;511835451;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/53.270013,+18.195505/@53.270013,18.19550517z;53.270013;18.195505
2117;MAKOWISKA;86-050;Solec Kujawski;Makowiska 35;yes;2117@shellpl.pl;523871508;523871508;pokaż na mapie;;;;;https://maps.google.pl/maps/search/53.062856,+18.17379/@53.062856,18.1737917z;53.062856;18.17379
2118;BRZOZA;86-061;Brzoza;ul. Bydgoska 15a przy drodze nr 25;yes;2118@shellpl.pl;781171755;781171755;pokaż na mapie;;;;;https://maps.google.pl/maps/search/53.044722,+18.003094/@53.044722,18.00309417z;53.044722;18.003094
2119;BIAŁE BŁOTA;86-005 ;Białe Błota;ul.Nizinna 1;Yes;2119@shellpl.pl;511835654;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/53.088103,+17.903944/@53.088103,17.90394417z;53.088103;17.903944
2120;ZŁAWIEŚ WIELKA;87-134;Zławieś Wielka;Droga Krajowa 80;Yes;2120@shellpl.pl;571303060;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/53.09204,+18.331954/@53.09204,18.33195417z;53.09204;18.331954
2122;PODGAJE;64-965 ;Podgaje;ul. Poznańska 6;yes;2122@shellpl.pl;508500282;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/53.475877,+16.880729/@53.475877,16.88072917z;53.475877;16.880729
2123;GWIAZDA GRUNWALDZKA;85-451;Bydgoszcz;ul. Grunwaldzka 203;no;2123@shellpl.pl;571303067;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/53.13727,+17.956357/@53.13727,17.95635717z;53.13727;17.956357
2124;INOWROCŁAW;88-100;Inowrocław;ul. Toruńska 181;yes;2124@shellpl.pl;571303068;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.804957,+18.272597/@52.804957,18.27259717z;52.804957;18.272597
2201;TCZEW;83-110 ;Tczew;Al. Solidarności 6;Yes;2201@shellpl.pl;571303036;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/54.092718,+18.778703/@54.092718,18.77870317z;54.092718;18.778703
2204;OLESNO KLUCZBORSKA  ;46-300 ;Olesno;ul. Kluczborska 41;yes;2204@shellpl.pl;571303083;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/50.883282,+18.406423/@50.883282,18.40642317z;50.883282;18.406423
2209;OLSZE WSCHÓD;83-130;Pelplin;Autostrada A1 42km kier. Gdańsk;yes;2209@shellpl.pl;664474718;600537908;pokaż na mapie;;;;;https://maps.google.pl/maps/search/53.887092,+18.630538/@53.887092,18.63053817z;53.887092;18.630538
2210;OLSZE ZACHÓD;83-130;Pelplin;Autostrada A1 42km kier. Łódź;yes;2210@shellpl.pl;664474728;664474728;pokaż na mapie;;;;;https://maps.google.pl/maps/search/53.888394,+18.630323/@53.888394,18.63032317z;53.888394;18.630323
2211;KOSZALIN BLIŹNIAK;75-436;Koszalin;ul. Rolna 16;no;2211@shellpl.pl;511841043;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/54.206514,+16.206636/@54.206514,16.20663617z;54.206514;16.206636
2301;DĄBKA;82-300;Elbląg;ul. Pułkownika Dąbka 132;No;2301@shellpl.pl;511831249;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/54.178895,+19.405509/@54.178895,19.40550917z;54.178895;19.405509
2401;FORMIT;86-300;Grudziądz;ul. Hallera 2;No;2401@shellpl.pl;571303224;571303225;pokaż na mapie;;;;;https://maps.google.pl/maps/search/53.485068,+18.753362/@53.485068,18.75336217z;53.485068;18.753362
2402;SPORTOWA;82-500 ;Kwidzyn;ul. Sportowa 4 ;yes;2402@shellpl.pl;571303226;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/53.722552,+18.931975/@53.722552,18.93197517z;53.722552;18.931975
2405;GRUDZIĄDZ ŚREDNICA;86-300;Grudziądz;ul. Łyskowskiego;no;2405@shellpl.pl;571303239;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/53.491298,+18.779529/@53.491298,18.77952917z;53.491298;18.779529
2503;TORAK;87-100;Toruń;ul. Grudziądzka 120;No;2503@shellpl.pl;571303061;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/53.030381,+18.611194/@53.030381,18.61119417z;53.030381;18.611194
2507;KOŚCIUSZKI;87-101;Toruń;ul. Kościuszki 76;no;2507@shellpl.pl;571303062;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/53.024511,+18.62681/@53.024511,18.6268117z;53.024511;18.62681
2508;MIKOŁAJ;87-100;Toruń;ul. Plac Armii Krajowej 1A;no;2508@shellpl.pl;571303063;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.998505,+18.604918/@52.998505,18.60491817z;52.998505;18.604918
2509;LUBIN     ;59-300 ;Lubin ;ul. Paderewskiego 88;no;2509@shellpl.pl;571303026;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/51.391233,+16.208482/@51.391233,16.20848217z;51.391233;16.208482
2510;TORUŃ SZOSA         ;87-100 ;Toruń;ul. Szosa Lubicka 1-17;yes;2510@shellpl.pl;571303064;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/53.019172,+18.640226/@53.019172,18.64022617z;53.019172;18.640226
2601;SEZAMOR;76-200;Słupsk;ul. Szczecińska 58b;No;2601@shellpl.pl;511838142;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/54.456755,+16.990517/@54.456755,16.99051717z;54.456755;16.990517
2603;SŁUPSKA      ;84-300 ;Lębork;ul. Słupska 26 ;yes;2603@shellpl.pl;511838217;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/54.526645,+17.738049/@54.526645,17.73804917z;54.526645;17.738049
2702;SYRENKA;75-123;Koszalin;ul. Syrenki;yes;2702@shellpl.pl;511841394;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/54.182694,+16.150712/@54.182694,16.15071217z;54.182694;16.150712
2704;MONTE;75-412;Koszalin;al. Monte Cassino 24;yes;2704@shellpl.pl;511841436;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/54.195249,+16.173259/@54.195249,16.17325917z;54.195249;16.173259
2801;WOLF;11-400;Kętrzyn;ul. Mazowiecka 17;Yes;2801@shellpl.pl;514849393;514893789;pokaż na mapie;;;;;https://maps.google.pl/maps/search/54.076425,+21.401002/@54.076425,21.40100217z;54.076425;21.401002
2901;KRAJ;99-300;Kutno;ul. Papieża Jana Pawla II 1b;no;2901@shellpl.pl;511830443;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/52.2311,+19.365101/@52.2311,19.36510117z;52.2311;19.365101
3001;TOSZECKA;44-100;Gliwice;ul. Toszecka 135;Yes;3001@shellpl.pl;511842457;;pokaż na mapie;;;;;https://maps.google.pl/maps/search/50.324281,+18.66134/@50.324281,18.6613417z;50.324281;18.66134
3002;RYBNICKA;44-100;Gliwice;ul. Rybnicka 159;Yes;3002@shellpl.pl;511842579;511842635;pokaż na mapie;;;;;https://maps.google.pl/maps/search/50.273106,+18.661695/@50.273106,18.66169517z;50.273106;18.661695
